"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL3426399","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(C(F)(F)F)cc3)n2)cc1",0.073
"CHEMBL4164155","COc1ccc(Nc2nc(-c3ccncc3)nc3ccc([N+](=O)[O-])cc23)cc1",0.0755
"CHEMBL3092485","COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC",0.076
"CHEMBL4205898","COc1ccc(-n2nnc(-c3cc(OC)ccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1",0.0774
"CHEMBL4170981","CC(=O)Nc1cccc(Nc2nc(-c3ccccc3)nc3ccc([N+](=O)[O-])cc23)c1",0.0787
"CHEMBL3426387","COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)c1",0.0789
"CHEMBL3426402","CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)cc3)n2)cc1",0.0794
"CHEMBL4069582","O=[N+]([O-])c1cc(Nc2nc(-c3ccccc3)nc3ccccc23)ccc1O",0.0811
"CHEMBL4161606","CCN(CC)c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.084
"CHEMBL4164537","COc1ccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)cc1OC",0.0867
"CHEMBL4161193","CSc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1",0.0886
"CHEMBL4210872","COc1ccc(-c2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)o2)cc1",0.09
"CHEMBL4168440","CSc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.0948
"CHEMBL3883513","CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccccc3)n2)cc1",0.0966
"CHEMBL4088963","Cc1cc(Nc2ccc(O)c([N+](=O)[O-])c2)nc(-c2ccccc2)n1",0.0988
"CHEMBL3426384","Cc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1",0.1
"CHEMBL4159937","CSc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc3ccc([N+](=O)[O-])cc23)c1",0.101
"CHEMBL4206410","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3)n2)cn1",0.102
"CHEMBL4098723","O=[N+]([O-])c1cccc(Nc2nc(-c3cccnc3)nc3ccccc23)c1",0.105
"CHEMBL3426395","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1",0.106
"CHEMBL4159327","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3ccccc3)c2c1",0.106
"CHEMBL4163316","COc1cccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)c1",0.107
"CHEMBL4089579","N#Cc1cccc(Nc2nc(-c3cccnc3)nc3ccccc23)c1",0.108
"CHEMBL4176120","O=[N+]([O-])c1cccc(-c2nc(Nc3ccccc3)c3ccccc3n2)c1",0.108
"CHEMBL2011288","COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1",0.11
"CHEMBL3092490","COc1ccc(-c2nc(Nc3cccc(O)c3)c3ccccc3n2)cc1OC",0.11
"CHEMBL2170116","O=C(Nc1ccccc1-c1nnc(-c2ccccc2)o1)c1ccccc1",0.112
"CHEMBL3885113","CSc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3[N+](=O)[O-])n2)cc1",0.117
"CHEMBL3426398","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(OC)c(OC)c3)n2)cc1",0.117
"CHEMBL4082228","O=[N+]([O-])c1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1",0.117
"CHEMBL3426388","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1",0.118
"CHEMBL453536","COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1",0.119
"CHEMBL4162699","O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3ccc(O)c(O)c3)c2c1",0.119
"CHEMBL4169350","N#Cc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.12
"CHEMBL4176534","COc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.1202
