"Molecule.ChEMBL.ID";"Smiles";"Standard.Value";"Mannhold LogP";"Atomic Polarizabilities";"Aromatic Atoms Count";"Aromatic Bonds Count";"Element Count";"Bond Polarizabilities";"Bond Count";"Eccentric Connectivity Index";"Fragment Complexity";"VABC Volume Descriptor";"Hydrogen Bond Acceptors";"Hydrogen Bond Donors";"Largest Chain";"Largest Pi Chain";"Petitjean Number";"Rotatable Bonds Count";"Lipinski's Rule of Five";"Topological Polar Surface Area";"Vertex adjacency information magnitude";"Molecular Weight";"XLogP";"Zagreb Index";"Formal Charge";"Formal Charge (pos)";"Formal Charge (neg)";"Heavy Atoms Count";"Molar Mass";"SP3 Character";"Rotatable Bonds Count (non terminal)";"ALogP1";"ALogP2";"ALogP3";"Moreau-Broto Autocorrelation (mass) descriptors1";"Moreau-Broto Autocorrelation (mass) descriptors2";"Moreau-Broto Autocorrelation (mass) descriptors3";"Moreau-Broto Autocorrelation (mass) descriptors4";"Moreau-Broto Autocorrelation (mass) descriptors5";"Moreau-Broto Autocorrelation (charge) descriptors1";"Moreau-Broto Autocorrelation (charge) descriptors2";"Moreau-Broto Autocorrelation (charge) descriptors3";"Moreau-Broto Autocorrelation (charge) descriptors4";"Moreau-Broto Autocorrelation (charge) descriptors5";"Moreau-Broto Autocorrelation (polarizability) descriptors1";"Moreau-Broto Autocorrelation (polarizability) descriptors2";"Moreau-Broto Autocorrelation (polarizability) descriptors3";"Moreau-Broto Autocorrelation (polarizability) descriptors4";"Moreau-Broto Autocorrelation (polarizability) descriptors5"
"CHEMBL4163063";"O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc4ccc(O)c([N+](=O)[O-])c4)c2c1";0.0374;2.56;53.37830899999998;22;23;43;20.023691;33;613;1246.1;326.1112878481739;3;2;3;30;0.5;8;1;144.32000000000002;6.044394119358453;403.0916685160003;5.2890000000000015;160;0;2;-2;30;403.34848840852226;0;5;1.7008000000000005;2.8927206400000016;111.8207;35.67224668408713;36.8753938308426;53.255633734595555;57.031838098820685;53.91663739871505;0.3645625145829671;-0.12102228466388759;0.056597236317488316;-0.14977494991535056;-0.03401059052159647;1910.279168953142;2281.4777423116598;3244.0433269956893;3434.9574760975324;3115.5401645978204
"CHEMBL3582168";"COc1cc(OC)c2c(c1)O[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H](OC(=O)c4ccc(F)c(NC(=O)c5cc(OC)c(OC)c(OC)c5)c4)C2";0.038;3.99;101.73913399999996;24;24;89;64.48086599999998;55;1717;6099.14;628.7622140078729;4;1;3;21;0.5;23;3;138.47;6.78135971352466;707.2378038760011;5.5649999999999995;266;0;0;0;51;707.6969423844048;0.12359550561797752;14;-1.0597999999999945;1.1231760399999884;197.88749999999996;62.155652866810485;63.22017247480243;89.29234608351327;111.17223562095333;113.6522302416468;1.8879985301427609;-1.0191484805787394;-0.14283966918488475;0.535507302159519;-0.4958828095915223;3310.779804044114;3948.6997908334947;5694.159709653558;6485.774633810181;6248.918974013745
"CHEMBL3092486";"COc1ccc(-c2nc(Nc3ccc([N+](=O)[O-])cc3)c4ccccc4n2)cc1OC";0.0436;3;58.33027399999997;22;23;48;28.065725999999994;33;732;1731.08;343.55272889197965;3;1;3;28;0.4666666666666667;9;0;99.41;6.044394119358453;402.1328050560005;4.507;158;0;1;-1;30;402.4035558366218;0.041666666666666664;6;1.353399999999999;1.8316915599999974;120.12700000000001;34.5377973472697;36.59856463492662;51.14880083269373;56.256297716668996;50.67535515999577;0.544967148144073;-0.30067500760750626;0.042544867677304685;0.057004201316374375;-0.18772928181936452;1956.7627839080235;2317.8072562296443;3268.477056142743;3475.735085707009;3098.4957939172086
"CHEMBL4171213";"CC(=O)Nc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc4ccc([N+](=O)[O-])cc24)c1";0.0448;2.78;60.72568799999997;22;23;50;27.274311999999995;37;789;1687.11;378.621464875571;5;2;3;29;0.5;11;1;110.05000000000001;6.20945336562895;467.12052403200045;5.1240000000000006;182;0;1;-1;34;467.4009181652249;0.04;6;1.8813999999999986;3.539665959999995;124.4056;42.62944103013319;41.68000790446527;65.45602004960739;63.308627285242146;61.86213406538635;0.6624198179539678;-0.381914140558498;0.1525963176044671;-0.06750002147172209;0.010224668484246304;2125.8204282532065;2532.534745842186;3605.1395173349165;3806.2292845702555;3596.4983203826123
"CHEMBL4164420";"O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc4cccc(F)c4)c2c1";0.0448;2.67;53.193515999999974;22;23;43;22.486483999999994;34;640;1186.1;332.9465262662161;3;1;3;26;0.5;10;1;80.95;6.08746284125034;428.0896385040004;6.031000000000001;168;0;1;-1;31;428.33997844174024;0.023255813953488372;5;2.8628999999999993;8.196196409999995;112.3398;39.99703583235841;38.59733717249698;61.235490898917185;59.80774166479901;56.09822220742392;0.5655336924690192;-0.3203845198308975;0.13483510195648366;-0.0784201960797807;0.0198223538261753;1880.700803686256;2255.5085906934073;3232.418725169316;3405.5888856938336;3136.391819686522
"CHEMBL3582167";"COc1cc(OC)c2c(c1)O[C@H](c3cc(OC)c(OC)c(OC)c3)[C@@H](OC(=O)c4ccc(F)c(NC(=O)c5ccc(OC)c(OC)c5)c4)C2";0.045;3.99;97.84354799999996;24;24;85;60.37845199999998;53;1645;5569.13;602.6760026814458;4;1;3;20;0.5;21;3;129.24;6.7279204545632;677.227239192001;5.6499999999999995;256;0;0;0;49;677.6709200523959;0.11764705882352941;13;-0.5612000000000019;0.31494544000000213;191.24399999999994;59.38118383126954;60.555988520537305;85.62816212924814;104.73358263114724;104.5493932975756;1.7296939014041388;-0.9358913896477206;-0.10309727536361052;0.4527518887599501;-0.40690327936970766;3178.571704060693;3784.723160442495;5436.772761978661;6131.70983507965;5852.236725651967
"CHEMBL4174412";"COc1cccc(Nc2nc(-c3cccnc3)nc4ccc([N+](=O)[O-])cc24)c1";0.047;2.7800000000000002;53.107894999999985;22;23;43;24.190104999999996;31;567;1360.08;311.16729314785175;4;1;3;27;0.5;7;0;103.07;5.954196310386876;373.1174893400004;3.6080000000000005;148;0;1;-1;28;373.36556006103507;0.023255813953488372;5;-0.026100000000000456;0.0006812100000000238;110.14660000000002;32.123308613005236;34.266744547022384;47.81698074478949;50.15000859322383;46.45422751790465;0.4714915116074318;-0.2479626531015727;0.09172771627258343;-0.16037509674430186;0.15739982575922506;1818.4376580883509;2157.026343891597;3034.9580828994267;3189.3524261778607;2904.0681025410354
"CHEMBL4160529";"COc1cc(Nc2nc(-c3ccc(OC)c(OC)c3)nc4ccccc24)ccc1Br";0.0475;3.2199999999999998;62.57185999999996;22;23;50;32.20213999999999;33;691;1939.07;362.98180428748543;3;1;2;26;0.5;10;1;65.5;6.044394119358453;465.0688036000006;5.328;158;0;0;0;30;466.327593077306;0.06;6;0.7941999999999982;0.6307536399999972;131.2445;76.66143880176767;41.64231892302266;61.34731885308108;75.42707642658957;62.37170981477343;0.657688218614554;-0.38894290492230615;0.028746643787983098;0.08422209441363644;-0.13387721090222218;2179.138390649811;2568.738745441422;3617.5972101979237;3845.7473477506333;3396.326450132803
"CHEMBL4174458";"N#Cc1ccc(Nc2nc(-c3ccccc3)nc4ccc([N+](=O)[O-])cc24)cc1";0.0481;3;52.73230899999998;22;23;41;19.427690999999996;31;614;1180.07;314.40013367155717;4;1;3;28;0.46153846153846156;5;0;104.74000000000001;5.954196310386876;367.10692465600033;4.668;148;0;1;-1;28;367.3610095226021;0;4;1.8896999999999997;3.570966089999999;111.976;31.348839577464293;33.4363786595768;46.986614857343916;49.4858246389587;44.51344107387429;0.33410956250730417;-0.15143766179509507;0.07517755632604353;-0.07200931142367407;-0.047634333626558376;1844.481710137494;2187.4204768651202;3071.9285234779495;3210.0507389518357;2875.4590655661755
"CHEMBL4163784";"N#Cc1cccc(Nc2nc(-c3ccccc3)nc4ccc([N+](=O)[O-])cc24)c1";0.0482;3;52.73230899999998;22;23;41;19.427690999999996;31;567;1180.07;314.40013367155717;4;1;3;28;0.5;5;0;104.74000000000001;5.954196310386876;367.10692465600033;4.668000000000001;148;0;1;-1;28;367.3610095226021;0;4;1.8896999999999997;3.570966089999999;111.976;31.348839577464293;33.4363786595768;46.98661485734391;49.485824638958704;45.679623007054744;0.33455494733539826;-0.15020356569586518;0.07692595290301737;-0.08017612274706114;-0.06907521301324845;1853.5747671388085;2200.3977022496288;3091.1272596324297;3237.4819087363753;2945.0377114995154
