"id","smiles"
108579,"[O]C12[C]([C][C]3C([C])([O])C4=[C][C]=[C]C(=C4C(=O)C3=C1[O])[O])[C](N([C])[C])C(=C(C2=O)C(=O)[N])[O]"
111708,"O(C(=O)[C])c1c2c(c(O[C])c3c1[C][C][C][C]3)C(=O)C4=[C][C]=[C][C]=C4C2=O"
112857,"O(C(=O)[C])c1c2c(c(OC(=O)[C])c3c1[C][C][C][C]3)C(=O)C4=[C][C]=[C][C]=C4C2=O"
113465,"O(C(=O)[C])c1c2c(c(OC(=O)[C])c3c1[C](OC(=O)[C])[C][C][C]3)C(=O)C4=[C][C]=[C][C]=C4C2=O"
114343,"O=C1C2=C(C(=O)C3=C1C(=[C][C]=C3[O])[O])C(=[C]C(=C2[O])[C])[O]"
114462,"[O]c1c2c(nc(n1)[O])N=N[C]=N2"
114777,"C(=O)(O[C])[C]1C2=C(C(=C3C(=O)C4=C([O])[C]=[C][C]=C4C(=O)C3=[C]2)[O])[C][C]C1([C][C])[O]"
114778,"[O]C1=C2C(=[C]C3=C1C(=O)C4=C([O])[C]=[C]C(=C4C3=O)[O])[C](C(=O)O[C])C([C][C])([O])[C][C]2[O]"
114918,"[O]c1c2c(c([O])c3c1[C](OC(=O)[C])[C][C][C]3)C(=O)C4=[C][C]=[C][C]=C4C2=O"
118618,"[O]C1=C2[C](C([C])([O])C3=[C][C]=[C]C(=C3C2=O)[O])[C][C]4C1([O])C(=O)C(=C([C]4)[O])C(=O)[N]"
118668,"[O]C1=C2[C](C([C])([O])C3=[C][C]=[C]C(=C3C2=O)[O])[C]c4c1c(c(C(=O)[N])c(c4N([C])[C])[O])[O]"
118669,"[O]C12[C]([C](N([C])[C])C(=C(C1=O)C(=O)[N])[O])[C][C]3C([C])([O])C4=C(Cl)[C]=[C]C(=C4C(=O)[C]3C2=O)[O]"
118670,"[O]C12[C]([C](N([C])[C])[C]([O])[C](C1=O)C(=O)[N])[C]c3c([C])c4=[C][C]=[C]C(=c4c(c3C2=O)[O])[O]"
118671,"O=C1[C]2[C](C([C])([O])C3=C1C(=[C][C]=C3Cl)[O])[C][C]4[C]C(=C(C(=O)C4=C2[O])C(=O)[N])[O]"
118673,"[O]C1=C2[C]([C]C(=C(C2=O)C(=O)[N])[O])[C]([C]3[C]1C(=O)C4=C([O])[C]=[C][C]=C4C3([C])[C])[O]"
118758,"[N]C1=C(c2nc(nc(n2)[N])[N])[C]=C(Br)[C]=[C]1"
124162,"S(=O)(=O)([O])C1=[C][N]C2=C1C(=N[C]=N2)[O]"
129467,"C(=O)([O])C1=C(P(=O)([O])[O])[C]=[C][C]=C1[N+](=O)[O-]"
134537,"C(=O)([N])C12C3=C(C(=[C][C]=C3[C][C][C]1[C]C(=O)[O])O[C])O[C][C]2"
135660,"[O]c1c2c(nc(n1)[N])N=N[C]=N2"
141546,"O([C])c1c2c3c([C][C][N][C]3[C]C4=C2[C]=C(O[C])C(=[C]4)O[C])c(c1O[C])O[C]"
141547,"O([C])c1c2c3c([C][C]N([C]3[C]C4=C2[C]=C(O[C])C(=[C]4)O[C])[C])c(c1O[C])O[C]"
143662,"[S]c1c2c(nc(n1)[N])[N][N][C]=N2"
149035,"[N](C(=O)C1=C([N])[C]=[C][C]=[C]1)c2c([C])nc([O])nc2[O]"
149039,"[C]c1c(c(nc(n1)[N])[O])-n2c(=O)c3c([C]=[C][C]=[C]3)nn2"
149045,"[C]c1c(c(nc(n1)[O])[O])-n2c(=O)c3c([C]=[C][C]=[C]3)nn2"
153768,"[C](=C1C(=O)[N]C(=O)O1)c2c([C][C])c(nc(n2)[S])[O]"
156272,"[O]c1c2c(c([O])c3c1[C](OC(=O)[C][C][N])[C][C][C]3)C(=O)C4=[C][C]=[C][C]=C4C2=O"
157577,"[O]c1c2c(nc(n1)[O])nc3N=[C]C(=[C]c3n2)Br"
163559,"O=C1c2c([N]C(=[C]1)C(=O)O[C])nc([O])nc2[O]"
164865,"O([C])c1c2c(c(O[C])c3c1[C]C(C(=O)[C])([O])[C][C]3)C(=O)C4=C([O])[C]=[C][C]=C4C2=O"
164868,"[O]c1c2c(c([O])c3c1[C]([O])[C][C]([C]3)C(=O)[C])C(=O)C4=[C][C]=[C][C]=C4C2=O"
165540,"[O]c1c2c(nc(n1)[O])N=C(S(=O)(=O)[C])C(=[C]2)C#N"
168720,"Fc1c2c(c(F)c(c1C(=O)[O])F)c(c(F)c(c2F)F)F"
168724,"Fc1c(c(c(F)c(c1F)C(=O)[O])F)-c2c(F)c(c(C(=O)[O])c(c2F)F)F"
168727,"Fc1c(c(c(F)c(c1F)C(=O)[O])F)-c2c(F)c(c(F)c(c2F)F)F"
170070,"C(=O)([O])c1c(F)c(c([N]c2c(F)c(c(C(=O)[O])c(c2F)F)F)c(c1F)F)F"
170091,"C(=O)(O[C])c1c(F)c(c([N]c2c(F)c(c(C(=O)O[C])c(c2F)F)F)c(c1F)F)F"
170095,"FC1=C(C(=[C]C(=C1F)C(=O)[O])F)C2=C(F)C(=C(C(=O)[O])[C]=C2F)F"
180539,"[N]([C]=O)[C]1C2=C(C3=C(O[C])C(=C([C]=C3[C][C]1)O[C])O[C])[C]4[C]=C(C(=O)[C]24)O[C]"
194985,"[N]c1c2c(nc(n1)[N])[N]C3=[C][C]=C(N=C3S2)O[C]"
194990,"Clc1c2c(nc(n1)[N])[N]C3=[C][C]=C(N=C3S2)O[C]"
196524,"C(=O)(O[C])[C]1c2c(c(c3C(=O)C4=C([O])[C]=[C][C]=C4C(=O)c3c2[O])[O])[C]([O])[C]C1([C][C])[O]"
215139,"[O]c1c2c(c([O])c3c1C(=O)[C]=C(C3=O)O[C])oc4=[C]C(=[C]C(=c4c2=O)[C])O[C]"
216081,"O=C1c2c(c(c3[C]C(C(=O)[C][O])([O])[C][C](c3c2[O])[O])[O])C(=O)C4=C1C(=[C][C]=[C]4)O[C]"
235815,"O(C(=O)[C][C][N])[C]1c2c(c(c3C(=O)C4=[C][C]=[C]C(=C4C(=O)c3c2[O])O[C])[O])[C]C([C]1)(C(=O)[C])[O]"
243912,"O=C1N(C(=O)C2=C1[C]=[C][C]=[C]2)c3c([C])nc([O])nc3[O]"
243914,"O=C1N(C(=O)C2=C1[C]=[C][C]=[C]2)c3c([O])nc([N])nc3[O]"
248610,"O=C1C2=C(C(=C3[C]([O])[C](O[C])C(C(=O)C3=[C]2)([C])[O])[O])C(=O)C4=C1[C]=C(O[C])[C]=C4[O]"
248611,"O=C1C2=C(C(=O)C3=C1[C]=C(O[C])[C]=C3[O])C(=C4[C][C](O[C])C(C(=O)C4=[C]2)([C])[O])[O]"
257450,"O=C1c2c(C(=O)C3=C1[C]=C([C])[C]=C3[O])c(c([O])c(c2[O])O[C])[O]"
261055,"O=C1c2c(c(c3[C]C(C(=O)O[C])([O])[C][C](c3c2[O])[O])[O])C(=O)C4=C1C(=[C][C]=[C]4)O[C]"
265451,"O=C1C2=C(C(=O)C3=C1[C]=C(O[C])[C]=C3[O])C(=C4[C][C](O[C])C([C](C4=[C]2)[O])([C])[O])[O]"
265452,"O=C1C2=C(C(=C3[C]([O])[C](O[C])C([C](C3=[C]2)[O])([C])[O])[O])C(=O)C4=C1[C]=C(O[C])[C]=C4[O]"
265499,"O([C][C])c1c2c(c(O[C][C])c3c1[C]([O])[C]C([C]3)(C(=O)[C])[O])C(=O)C4=[C][C]=[C]C(=C4C2=O)O[C][C]"
267469,"[O]c1c2c(c([O])c3c1C(=O)C4=[C][C]=[C]C(=C4C3=O)O[C])[C](O[C]5[C][C]([N])[C][C](O5)[C])[C]C([C]2)(C(=O)[C][O])[O]"
269225,"C(=O)([N])C1=c2c(=NC(=[C]1)[O])nc(S[C])nc2[N]"
269226,"C(=O)(O[C])C1=c2c(=NC(=[C]1)Cl)nc(Cl)nc2Cl"
269227,"C(=O)([N])C1=c2c(=NC(=[C]1)Cl)nc(Cl)nc2[N]"
269229,"C(=O)([N])C1=c2c(=NC(=[C]1)[S])nc(Cl)nc2[N]"
270536,"[O]c1c2c(c([O])c3c1[C]C(C(=O)[C][O])([O])[C][C]3)C(=O)C4=C(O[C])[C]=[C][C]=C4C2=O"
